Name,Username,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
Scott,sgreene10,116.92,120.2,165.8,161.56,158.52,176.54,158.84,158.18,137.90,136.92,110.50,157.06,117.74,0.00,142.10
Birch,mbirch5,100.52,78.92,135.0,125.08,131.68,145.24,141.94,142.78,99.28,115.64,44.84,153.88,139.14,86.24,98.44
Dylan,dphilipps92,89.32,155.66,122.1,154.68,105.96,108.14,104.38,113.08,119.12,95.28,82.20,175.56,101.02,107.76,166.24
Kamp,kamper24,89.12,71.62,114.3,120.60,138.62,133.14,147.48,93.68,121.98,115.00,84.54,127.66,80.02,150.24,148.04
Dave,twiddd,125.72,126.84,80.6,102.72,135.02,139.92,97.04,114.62,113.12,114.58,151.06,114.56,100.16,107.54,143.54
Mark,mpolhemus1,100.62,97.54,120.8,118.02,88.94,107.24,158.74,96.58,124.18,118.58,111.58,169.38,112.04,138.06,95.50
Cush,tjcush4,78.32,75.44,134.7,104.10,138.92,47.94,114.84,112.96,136.24,124.20,92.36,127.56,72.66,137.54,132.50
Connor,kampco,83.82,124.04,125.2,130.38,129.92,128.16,122.26,112.68,106.02,129.70,83.06,115.96,87.04,94.26,139.30
Alex,ahalen89,99.60,126.8,123.7,146.36,143.82,81.64,127.04,112.30,107.56,104.80,84.80,108.02,74.54,98.58,148.12
Linda,njlindah,119.72,63.28,90.5,157.70,134.26,68.04,112.94,78.42,115.18,107.04,84.20,114.32,81.62,146.76,149.10
Andrew,aedbauer716,105.92,70.04,86.6,71.46,123.84,122.86,116.84,120.98,111.48,131.34,61.46,119.56,122.86,122.04,131.40
Laurie,laurietk,89.90,154.04,79.1,88.40,114.10,98.76,111.14,120.92,118.06,124.00,100.24,145.56,104.54,112.54,106.52
Micky,michaelh4563,92.52,154.92,85.8,137.22,145.68,105.44,109.90,123.18,105.74,76.76,100.52,98.46,64.82,88.96,120.38
Trevor,trevorcreedon,73.02,101.8,97.9,108.22,108.32,108.84,129.36,115.08,118.70,99.60,114.44,147.56,72.52,117.64,127.12
Mike,mherlihy222,88.92,112.64,81.8,95.50,128.74,119.94,70.24,98.98,145.88,131.10,109.70,100.08,87.42,103.98,142.54
Sasky,mikehouston37,90.62,0,98.7,114.94,120.04,113.64,155.26,79.72,109.56,123.22,119.56,146.36,87.82,63.06,80.54
Toby,tobyabramo,78.82,111.32,104.8,108.16,135.42,79.54,118.18,81.40,128.54,128.80,84.04,150.68,88.64,81.24,101.54
Rusty,underfundedpension,81.64,81.5,130.6,128.94,107.68,102.54,127.72,91.32,142.18,115.38,81.40,116.66,75.02,91.74,102.94
Weaver,watrickpeaver,80.92,76.24,98.7,128.56,136.62,116.64,137.74,87.58,96.60,0.00,103.94,90.66,78.72,121.16,0.00
Tom,tomfmoran,88.84,89.84,100.3,106.60,116.78,109.62,98.16,98.08,107.12,108.74,75.30,124.56,91.42,94.86,127.44
